Code,Description,Solution,TrainingText,Severity,Category,Steps
P0A80,Hybrid battery pack deterioration,Check battery health and replace if weak,"battery not charging, battery deteriorating, weak battery, charging failure, battery capacity reduced, hybrid battery weak, battery dying fast, ev battery health bad, battery won't hold charge, battery range dropped suddenly, my battery is degrading quickly, battery performance very poor",High,Battery,Check battery health diagnostic report|Measure individual cell voltages|Identify weak or dead cells|Replace degraded battery modules|Recalibrate BMS after replacement|Test charge-discharge cycle
P0A7F,Battery pack performance degradation,Test and replace battery pack,"low range, reduced battery performance, weak battery pack, battery life decreased, ev range dropped, battery not holding charge, range anxiety battery issue, battery degraded significantly, car losing range fast, battery pack weak, mileage reduced drastically, poor battery capacity",High,Battery,Run full battery health diagnostic|Check cell voltage balance across pack|Inspect battery cooling system|Replace weakest modules|Recalibrate state of health in BMS|Perform capacity test after repair
P0AA6,Hybrid battery isolation fault,Inspect insulation and wiring for leakage,"isolation fault, battery leak detected, high voltage fault, insulation problem, hv isolation error, battery insulation failure, leakage current detected in battery, ground fault battery pack, isolation resistance low, battery ground fault detected, high voltage leakage, electrical isolation compromised",Critical,Battery,Immediately disconnect high voltage system|Measure isolation resistance with megohmmeter|Inspect battery pack for moisture ingress|Check all HV cable insulation|Repair or replace damaged insulation|Verify isolation resistance meets spec before reconnecting
P0AFA,Hybrid battery system voltage low,Check battery connections and balance cells,"battery voltage low, low system voltage, weak hybrid battery voltage, battery undervoltage, system voltage dropped, hv battery voltage below normal, pack voltage too low, battery not providing enough voltage, main battery voltage fault, battery voltage reading low, low power from battery, battery pack voltage insufficient",High,Battery,Check battery state of charge|Measure pack voltage at terminals|Inspect battery connections for corrosion|Check for parasitic drain|Balance cells using BMS|Recharge battery and monitor voltage stability
P0A95,High-voltage fuse blown,Inspect and replace fuse,"hv fuse error, blown fuse in battery, high voltage fuse fault, main fuse blown, hv fuse tripped, battery fuse failure, high voltage circuit fuse open, main battery fuse gone, ev won't start fuse issue, power fuse blown in battery, hv fuse needs replacement, fuse protecting battery blown",Critical,Battery,Disconnect high voltage system safely|Locate HV fuse in battery junction box|Test fuse continuity with multimeter|Identify root cause of over-current|Replace fuse with correct rating|Test system operation after replacement
P0AC5,Battery pack contactor stuck,Inspect or replace contactor,"battery contactor fault, stuck relay in battery, contactor not opening, main contactor failure, battery relay stuck closed, contactor welded shut, hv contactor malfunction, battery switch not working, contactor won't engage, battery relay fault, main relay stuck, power relay in battery failed",Critical,Battery,Disconnect 12V power to open contactors|Listen for contactor click during key cycle|Measure voltage across contactor terminals|Inspect contactor for welding or pitting|Replace faulty contactor|Test precharge circuit operation
P0AC0,Battery charging system fault,Check charging cable and BMS,"charging system problem, battery not charging, charger error detected, ev won't charge, charging fault indicator, battery charge failure, charging system malfunction, unable to charge ev, plug in but not charging, charging interrupted error, battery charging stopped, charge port error",High,Battery,Check charging cable for damage|Inspect charge port pins for corrosion|Verify charger pilot signal|Check BMS charge enable signal|Test onboard charger output|Reset charging system and retry
P0A9F,Battery over-discharge protection fault,Recharge or replace battery pack,"battery discharged fully, low battery cutoff, battery deep discharge, battery over discharged, battery drained completely, battery too low to start, deep cycle battery damage, battery fully depleted, over discharge protection triggered, battery went to zero, ev battery completely dead, battery discharge below minimum",High,Battery,Connect external charger at low current|Monitor cell voltages during recovery charge|Check for cells below minimum voltage threshold|Replace any cells that won't recover|Recalibrate BMS state of charge|Set low voltage cutoff warning in BMS
P0B37,Battery module temperature sensor fault,Check wiring and sensor,"battery temp sensor issue, thermal sensor error, battery overheating sensor, temperature reading wrong battery, battery temperature sensor malfunction, temp sensor fault battery, battery thermal monitoring error, incorrect battery temp reading, battery temperature sensor broken, temp sensor circuit fault, battery heat sensor problem, temperature probe failure in battery",Medium,Battery,Read sensor resistance at known temperature|Check wiring continuity to sensor|Inspect connector for corrosion|Compare reading with adjacent sensors|Replace faulty temperature sensor|Clear fault codes and verify reading accuracy
P0B47,Battery current sensor fault,Check and replace sensor,"battery current sensor issue, current reading wrong, sensor problem, battery amp sensor error, current measurement fault, battery current not reading correctly, current sensor malfunction, wrong current display battery, hall effect sensor fault battery, battery current transducer error, current sensing failure, amps reading incorrectly",Medium,Battery,Verify sensor output at zero current|Check sensor wiring and connector|Calibrate current sensor offset|Compare reading with clamp meter|Replace current sensor if out of spec|Reset BMS current calibration
